"id_odsp","id_event","sort_order","time","text","event_type","event_type2","side","event_team","opponent","player","player2","player_in","player_out","shot_place","shot_outcome","is_goal","location","bodypart","assist_method","situation","fast_break"
"d4LVsDnC/","d4LVsDnC35",35,36,"Attempt saved. Alberto Bueno (Rayo Vallecano) right footed shot from outside the box is saved in the bottom left corner. Assisted by Manucho.","Attempt","Key Pass","Home","Rayo Vallecano","Valencia","alberto bueno","manucho",NA,NA,"Bottom left corner","On target",0,"Outside the box","right foot","Pass","Open play",0
"nVZ7LFtB/","nVZ7LFtB24",24,15,"Goal!  Real Madrid 0, Elche 1. Edu AlbA¡car (Elche) converts the penalty with a left footed shot to the top right corner.","Attempt",NA,"Away","Elche","Real Madrid","edu albacar",NA,NA,NA,"Top right corner","On target",1,"Penalty spot","left foot","None","Set piece",0
"UDDmi1Rd/","UDDmi1Rd40",40,39,"Yannick Ferreira-Carrasco (Monaco) wins a free kick on the right wing.","Free kick won",NA,"Away","AS Monaco","Stade de Reims","yannick ferreiracarrasco",NA,NA,NA,NA,NA,0,"Right wing",NA,"None",NA,0
"Qe3DNsQp/","Qe3DNsQp103",103,92,"Corner,  Burnley. Conceded by Jonathan Walters.","Corner",NA,"Away","Burnley","Stoke City",NA,NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"Y93v3zzd/","Y93v3zzd82",82,64,"Goal!  Lille 2, Lyon 1. Marko Basa (Lille) header from the centre of the box to the bottom right corner. Assisted by Dimitri Payet with a cross following a set piece situation.","Attempt","Key Pass","Home","Lille","Lyon","marko basa","dimitri payet",NA,NA,"Bottom right corner","On target",1,"Centre of the box","head","Cross","Set piece",0
"vyLzTEL1/","vyLzTEL135",35,42,"Attempt missed. Emanuel Herrera (Montpellier) right footed shot from outside the box misses to the left.","Attempt",NA,"Home","Montpellier","Bastia","emanuel herrera",NA,NA,NA,"Misses to the left","Off target",0,"Outside the box","right foot","None","Open play",0
"UcNLlbb1/","UcNLlbb199",99,90,"Substitution, Inter Milan. Pablo Daniel Osvaldo replaces Mauro Icardi.","Substitution",NA,"Home","Internazionale","Hellas Verona",NA,NA,"pablo daniel osvaldo","mauro icardi",NA,NA,0,NA,NA,"None",NA,0
"QcGqDptI/","QcGqDptI6",6,5,"Foul by Julian Palmieri (Bastia).","Foul",NA,"Away","Bastia","Bordeaux","julian palmieri",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"rZAJjbxD/","rZAJjbxD77",77,71,"Dani GarcA­a (Eibar) wins a free kick in the defensive half.","Free kick won",NA,"Home","Eibar","Granada","dani garcia",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"SIGo3OUq/","SIGo3OUq32",32,33,"Attempt missed. Jaroslav Plasil (Bordeaux) left footed shot from the right side of the box is high and wide to the left. Assisted by Thomas TourA©.","Attempt","Key Pass","Home","Bordeaux","Toulouse","jaroslav plasil","thomas toure",NA,NA,"High and wide","Off target",0,"Right side of the box","left foot","Pass","Open play",0
"CtgqEACd/","CtgqEACd36",36,31,"Foul by Matthias Ginter (Borussia Dortmund).","Foul",NA,"Away","Borussia Dortmund","Werder Bremen","matthias ginter",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"zwL8Nn5O/","zwL8Nn5O81",81,74,"Corner,  Bayer Leverkusen. Conceded by Maza.","Corner",NA,"Away","Bayer Leverkusen","VfB Stuttgart","maza","maza",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"p6ZI61jo/","p6ZI61jo13",13,20,"Cheikhou Kouyate (West Ham United) wins a free kick in the attacking half.","Free kick won",NA,"Home","West Ham","Newcastle","cheikhou kouyate",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"xKnK10VB/","xKnK10VB84",84,90,"Foul by Vincent Bessat (Nantes).","Foul",NA,"Away","Nantes","Toulouse","vincent bessat",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"vX4r5Zur/","vX4r5Zur61",61,45,"Tobias Weis (1899 Hoffenheim) wins a free kick in the attacking half.","Free kick won",NA,"Away","TSG Hoffenheim","Werder Bremen","tobias weis",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"bNYfewHS/","bNYfewHS22",22,42,"Foul by Yohan Mollo (St Etienne).","Foul",NA,"Away","St Etienne","Sochaux","yohan mollo",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"GKvx93OH/","GKvx93OH65",65,62,"Bruno Henrique (Palermo) wins a free kick in the defensive half.","Free kick won",NA,"Home","Palermo","Chievo Verona","bruno henrique",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"rXfuBbAj/","rXfuBbAj89",89,73,"Antonio Candreva (Lazio) wins a free kick in the attacking half.","Free kick won",NA,"Home","Lazio","Lecce","antonio candreva",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"YJRL3fus/","YJRL3fus44",44,34,"Corner,  Athletic Club. Conceded by Daniel CarriA§o.","Corner",NA,"Away","Athletic Bilbao","Sevilla","daniel carria§o","daniel carria§o",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"pOKb3qzE/","pOKb3qzE33",33,34,"Attempt missed. Mats Hummels (Borussia Dortmund) header from the centre of the box misses to the right. Assisted by Marcel Schmelzer following a set piece situation.","Attempt","Key Pass","Home","Borussia Dortmund","SpVgg Greuther Furth","mats hummels","marcel schmelzer",NA,NA,"Misses to the right","Off target",0,"Centre of the box","head","Pass","Set piece",0
"YRn98lal/","YRn98lal29",29,25,"Attempt saved. Gueida Fofana (Lyon) right footed shot from outside the box is saved in the bottom right corner. Assisted by Aly Cissokho.","Attempt","Key Pass","Away","Lyon","AC Ajaccio","gueida fofana","aly cissokho",NA,NA,"Bottom right corner","On target",0,"Outside the box","right foot","Pass","Open play",0
"jVuEDh57/","jVuEDh5796",96,87,"Foul by Filippo Porcari (Novara).","Foul",NA,"Home","Novara","Genoa","filippo porcari",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"ldHqaF0T/","ldHqaF0T46",46,58,"Mikael Antonsson (Bologna) wins a free kick in the defensive half.","Free kick won",NA,"Away","Bologna","Lazio","mikael antonsson",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"UH1pZlj9/","UH1pZlj990",90,90,"Foul by Cheikhou Kouyate (West Ham United).","Foul",NA,"Away","West Ham","Swansea","cheikhou kouyate",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"6BxDcODU/","6BxDcODU26",26,27,"Michael Williamson (Newcastle United) wins a free kick in the attacking half.","Free kick won",NA,"Home","Newcastle","QPR","michael williamson",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"xSzsXi42/","xSzsXi422",2,4,"Federico FernA¡ndez (Getafe) wins a free kick in the defensive half.","Free kick won",NA,"Home","Getafe","Celta Vigo","federico fernandez",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"Y56pQkmH/","Y56pQkmH56",56,61,"Corner,  Real Valladolid. Conceded by Sergio PelegrA­n.","Corner",NA,"Home","Real Valladolid","Elche","sergio pelegra­n","sergio pelegra­n",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"A1Cnyvso/","A1Cnyvso49",49,62,"Foul by Carles Gil (Aston Villa).","Foul",NA,"Home","Aston Villa","West Brom","carles gil",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"trwev06g/","trwev06g79",79,78,"Foul by Andreas Ottl (Hertha Berlin).","Foul",NA,"Home","Hertha Berlin","Bayern Munich","andreas ottl",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"UkaCfZ8p/","UkaCfZ8p83",83,81,"Offside, Juventus. Kwadwo Asamoah tries a through ball, but Pablo Daniel Osvaldo is caught offside.","Offside","Failed through ball","Home","Juventus","Cagliari","pablo daniel osvaldo","kwadwo asamoah",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"jDDHPy7r/","jDDHPy7r82",82,85,"Substitution, Napoli. Michu replaces Lorenzo Insigne.","Substitution",NA,"Away","Napoli","Genoa",NA,NA,"michu","lorenzo insigne",NA,NA,0,NA,NA,"None",NA,0
"WjgoIc7q/","WjgoIc7q75",75,78,"CA©dric Bakambu (Sochaux) wins a free kick in the attacking half.","Free kick won",NA,"Away","Sochaux","Lorient","cedric bakambu",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"EqzWZjt2/","EqzWZjt265",65,80,"Dany Nounkeu (Evian Thonon Gaillard) is shown the yellow card.","Yellow card",NA,"Home","Evian Thonon Gaillard","Lille","dany nounkeu",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"QsSNCYUS/","QsSNCYUS66",66,71,"Substitution, Fiorentina. Ryder Matos replaces Giuseppe Rossi because of an injury.","Substitution",NA,"Home","Fiorentina","Livorno",NA,NA,"ryder matos","giuseppe rossi",NA,NA,0,NA,NA,"None",NA,0
"YZOgN8Eg/","YZOgN8Eg48",48,62,"Tiago (AtlA©tico de Madrid) is shown the yellow card for hand ball.","Yellow card",NA,"Home","Atletico Madrid","Villarreal","tiago",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"WOAmgVbj/","WOAmgVbj16",16,23,"Foul by Daniele Cacia (Verona).","Foul",NA,"Away","Hellas Verona","AC Milan","daniele cacia",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"lleFUtMr/","lleFUtMr23",23,23,"Foul by Gabriel Torje (Granada CF).","Foul",NA,"Home","Granada","Valencia","gabriel torje",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"bXc7UlUq/","bXc7UlUq100",100,79,"Offside, Fiorentina. MatA­as FernA¡ndez tries a through ball, but Alberto Gilardino is caught offside.","Offside","Failed through ball","Away","Fiorentina","Genoa","alberto gilardino","matias fernandez",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"AT4Ba7ce/","AT4Ba7ce67",67,65,"Foul by Vincent Aboubakar (Lorient).","Foul",NA,"Away","Lorient","Guingamp","vincent aboubakar",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"EVdpaaI4/","EVdpaaI417",17,16,"David Ducourtioux (Valenciennes) wins a free kick in the defensive half.","Free kick won",NA,"Home","Valenciennes","Bordeaux","david ducourtioux",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"ALSZd6uA/","ALSZd6uA57",57,61,"Attempt saved. Christian Benteke (Aston Villa) right footed shot from the centre of the box is saved in the bottom right corner. Assisted by Nathan Baker with a headed pass.","Attempt","Key Pass","Home","Aston Villa","Liverpool","christian benteke","nathan baker",NA,NA,"Bottom right corner","On target",0,"Centre of the box","right foot","Headed pass","Open play",0
"z93S65FD/","z93S65FD106",106,81,"Attempt blocked. Miralem Pjanic (Roma) right footed shot from the right side of the box is blocked. Assisted by Gervinho.","Attempt","Key Pass","Away","AS Roma","Sampdoria","miralem pjanic","gervinho",NA,NA,"Blocked","Blocked",0,"Right side of the box","right foot","Pass","Open play",0
"lKoVxtVf/","lKoVxtVf61",61,53,"Foul by Joshua Kimmich (FC Bayern Munchen).","Foul",NA,"Away","Bayern Munich","FC Ingolstadt 04","joshua kimmich",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"xOxJo5rt/","xOxJo5rt113",113,80,"Anthony Modeste (Bastia) wins a free kick in the attacking half.","Free kick won",NA,"Home","Bastia","AC Ajaccio","anthony modeste",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"SbLAlx6r/","SbLAlx6r20",20,12,"Goal!  Rayo Vallecano 1, Real Sociedad 0. Piti (Rayo Vallecano) converts the penalty with a left footed shot to the bottom left corner.","Attempt",NA,"Home","Rayo Vallecano","Real Sociedad","piti",NA,NA,NA,"Bottom left corner","On target",1,"Penalty spot","left foot","None","Set piece",0
"vBsSa3sR/","vBsSa3sR71",71,88,"Penalty Athletic Club. Aduriz draws a foul in the penalty area.","Penalty conceded",NA,"Home","Athletic Bilbao","Sevilla",NA,NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"4xI1wTYM/","4xI1wTYM79",79,66,"Substitution, Bordeaux. Cheick DiabatA© replaces David Bellion.","Substitution",NA,"Home","Bordeaux","AS Nancy Lorraine",NA,NA,"cheick diabate","david bellion",NA,NA,0,NA,NA,"None",NA,0
"fRP0JP0h/","fRP0JP0h72",72,64,"Foul by Marvin Plattenhardt (FC Nurnberg).","Foul",NA,"Home","Nurnberg","Werder Bremen","marvin plattenhardt",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"zsTRN2kO/","zsTRN2kO68",68,64,"Foul by Emre Can (Bayer 04 Leverkusen).","Foul",NA,"Home","Bayer Leverkusen","Bayern Munich","emre can",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"SCmXNKvI/","SCmXNKvI18",18,25,"Leighton Baines (Everton) wins a free kick on the left wing.","Free kick won",NA,"Home","Everton","Hull","leighton baines",NA,NA,NA,NA,NA,0,"Left wing",NA,"None",NA,0
"dKLrKm2e/","dKLrKm2e32",32,36,"Jordon Ibe (Bournemouth) wins a free kick in the attacking half.","Free kick won",NA,"Home","Bournemouth","Sunderland","jordon ibe",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"8dY0bQP9/","8dY0bQP922",22,16,"Attempt blocked. Henrikh Mkhitaryan (Borussia Dortmund) left footed shot from outside the box is blocked.","Attempt",NA,"Home","Borussia Dortmund","TSG Hoffenheim","henrikh mkhitaryan",NA,NA,NA,"Blocked","Blocked",0,"Outside the box","left foot","None","Open play",0
